x,y,crash,Restaurants,ATMs,Bars,Bus Stops,Convenience Stores,Department Stores,Greengroceries,Hotels,Market Places,Metro Stations,School,Temples,Household,Intersections,Road length
121.546277,25.039714,1220,33,0,0,1,4,0,0,2,1,1,1,0,540,274,7877.800359
121.518607,25.028616,1922,25,4,0,0,7,0,0,0,0,0,0,0,720,274,7973.4721
121.559468,25.089599,927,17,1,0,0,4,0,0,0,0,0,1,0,575,273,13912.49404
121.535272,25.035808,1420,19,0,0,0,5,0,0,0,1,1,1,1,865,273,10264.43106
121.516779,25.070254,1321,48,0,0,0,7,0,0,0,0,0,1,2,570,272,7845.924515
121.584309,25.051732,1340,13,1,0,0,4,0,1,0,0,0,0,1,318,271,11171.09459
121.541403,25.073132,1966,2,0,0,0,0,0,2,0,0,0,1,0,7,269,45999.00824
121.574223,25.076838,3002,49,4,0,0,17,0,0,0,0,0,1,0,361,267,14682.54373
121.530335,25.071517,984,10,0,0,0,4,0,2,0,0,0,0,0,406,265,36505.09805
121.546773,25.063653,663,10,0,0,0,3,0,0,0,0,0,0,0,548,264,7856.723518
121.49327,25.014918,763,17,0,0,0,1,0,2,0,0,0,0,0,499,264,11868.23151
121.493525,25.152145,114,5,0,0,0,2,0,0,0,0,0,0,5,223,264,10892.41736
121.546426,25.051218,2148,42,0,1,1,12,1,0,0,0,0,2,1,638,263,9857.745083
121.540378,25.050096,974,71,0,1,0,9,0,0,0,0,0,3,0,590,262,11490.55971
121.488273,25.032399,1468,8,3,0,0,6,0,0,0,0,0,1,0,656,262,16330.39197
121.562856,25.04462,596,26,0,1,1,7,0,1,0,0,0,1,0,351,259,15702.14492
121.557074,24.985042,2442,11,0,0,0,3,0,0,0,0,0,1,0,669,259,9854.714129
121.552418,24.989782,1225,42,0,0,0,5,0,1,0,0,0,3,0,538,258,12869.8059
121.52112,25.063427,2402,63,2,0,0,13,0,0,0,2,2,0,0,544,257,9609.663144
121.52268,25.092402,1087,27,0,0,0,4,0,0,0,0,0,2,2,332,257,7727.667714
121.50378,25.087559,1543,3,0,0,0,4,0,0,0,0,0,0,0,576,257,11490.80887
121.584935,25.04832,879,13,1,0,0,1,0,1,0,1,1,0,0,550,256,8657.031832
121.566737,24.991517,654,24,1,0,0,2,0,0,0,0,0,3,1,636,255,10678.9743
121.534336,25.113465,1100,30,1,0,0,6,0,0,1,0,0,6,1,477,252,10494.69398
121.567066,25.052774,1021,8,1,0,0,7,0,0,0,1,1,0,0,718,252,10744.37504
121.546223,25.086229,288,45,0,0,0,6,0,0,0,0,0,2,3,895,250,12927.02931
121.591496,25.054088,1146,27,1,0,0,5,0,0,0,0,0,2,0,299,250,10647.75992
121.564026,25.070658,1118,2,0,0,0,1,0,2,0,0,0,1,0,451,250,44254.50207
121.594402,24.971783,1347,13,1,0,1,4,0,1,0,0,0,2,0,147,250,34043.57779
121.532934,25.024188,452,8,3,0,2,3,0,1,0,0,0,1,1,569,248,7774.743141
121.517224,25.058583,519,16,0,2,0,3,0,0,0,0,0,1,1,511,247,7745.484686
121.498599,25.129523,1327,30,0,0,0,7,0,0,0,1,1,0,0,536,247,8743.892757
121.530593,25.035829,602,12,2,0,1,3,0,0,0,0,0,0,0,811,247,7769.334357
121.548979,25.023146,1285,13,3,0,0,5,0,6,0,0,0,0,0,338,246,8057.152963
121.5362,25.121478,235,0,0,0,0,2,0,0,0,0,0,0,0,517,246,10284.04236
121.560591,25.039283,1185,21,0,0,0,3,0,3,0,0,0,1,1,297,245,10445.07444
121.554237,25.126206,399,2,0,0,0,1,0,0,0,0,0,1,1,96,245,19865.80583
121.526066,25.13232,478,6,0,0,0,4,0,0,0,0,0,0,1,573,245,19360.78868
121.569257,25.058097,1237,28,0,0,0,3,0,0,0,0,0,1,0,425,244,14648.61535
121.530867,25.049636,1183,28,1,2,1,8,0,0,0,0,0,2,1,500,244,12718.42855
121.614853,25.082217,196,3,0,0,0,0,0,0,0,0,0,0,0,230,244,11208.88229
121.499227,25.042389,1079,10,0,0,1,1,0,2,0,0,0,0,0,465,242,11848.97058
121.547018,24.986791,1400,15,3,0,0,4,0,0,0,0,0,0,0,474,242,10452.17677
121.520797,25.153153,174,0,0,0,0,1,0,0,0,0,0,2,4,72,241,32967.62909
121.540722,25.035702,1067,26,0,1,0,3,0,0,0,0,0,2,0,614,240,9244.807994
121.579709,25.083145,892,43,0,0,0,6,0,0,0,0,0,1,0,635,239,7814.95164
121.527319,25.10956,780,44,0,0,0,5,0,0,0,0,0,0,0,682,239,7047.902507
121.523805,25.070956,1747,20,1,1,0,5,0,0,0,1,1,0,0,294,238,26255.82646
121.513342,25.104328,1752,3,0,0,0,1,0,0,0,0,0,3,0,316,238,13163.99566
121.534777,25.048712,1324,49,1,4,1,11,0,0,0,1,1,0,1,379,238,11684.67022
121.524392,25.043236,1570,51,1,1,0,9,0,1,0,0,0,1,0,394,237,10140.25512
121.501713,25.135533,705,24,0,0,0,5,0,0,0,0,0,1,0,392,237,7557.196057
121.546355,25.043318,898,75,1,4,1,7,0,0,1,1,1,0,0,710,236,8344.262347
121.550399,25.030987,1916,11,1,0,0,4,0,0,0,0,0,1,1,437,236,6945.790935
121.529477,25.102588,969,1,1,0,0,3,0,0,0,0,0,1,0,562,235,8155.103173
121.531588,25.054986,708,56,1,0,3,4,0,0,0,0,0,0,0,477,234,8020.970158
121.523115,25.107972,975,26,0,0,0,2,0,0,0,0,0,1,2,497,234,9525.790395
121.572164,25.029293,860,7,0,0,0,2,0,0,0,0,0,0,0,465,234,12016.78698
121.581728,25.07653,675,38,0,0,0,4,0,0,0,0,0,0,0,539,233,6377.25845
121.572017,25.035977,1076,7,1,1,0,6,0,0,0,1,1,2,0,817,232,10816.92994
121.512,25.121819,503,1,0,0,1,1,0,0,0,1,1,0,0,326,232,11737.73355
121.531148,25.040453,827,23,0,1,2,4,0,0,0,1,1,0,1,488,231,7176.872103
121.501456,25.092631,742,8,0,0,0,4,0,1,0,0,0,1,0,456,230,11871.4362
121.57598,25.054179,654,1,0,0,0,2,0,0,0,0,0,0,1,365,230,17487.69582
121.499336,25.144152,219,18,0,0,0,2,0,0,0,0,0,0,1,360,230,7052.388474
121.540449,25.053272,1428,52,2,2,0,11,0,0,0,1,1,0,2,405,228,8275.971974
121.495943,25.039192,1020,42,1,3,0,4,0,1,0,0,0,1,0,426,227,10554.30505
121.550727,25.020645,684,18,0,1,0,2,0,0,0,1,1,3,0,485,224,10185.85655
121.502584,25.031623,1207,20,0,0,1,1,0,0,0,0,0,0,0,500,224,7609.679076
121.524916,25.01804,778,2,0,2,0,3,0,0,0,0,0,1,0,434,224,11531.59154
