x,y,crash,resto,roadlength,househol
121.5896018,25.03849279,114,6,2725.283038,381
121.585232,25.04115654,292,39,5224.8332,606
121.5076072,25.04048546,686,54,3947.895887,564
121.5114283,25.04127119,2641,45,12161.65081,90
121.495474,25.03837088,1184,7,16516.97729,374
121.4958233,25.0390474,1020,79,10554.30505,426
121.571519,25.041423,574,13,4290.467467,291
121.5302259,25.04110218,827,44,7176.872103,488
121.5788267,25.0398207,531,53,4429.164453,508
121.5169164,25.03585293,2170,34,14286.37104,341
121.62126,25.03931145,592,47,40318.98597,421
121.5639802,25.03999031,2633,142,11278.13965,599
121.5048185,25.0430034,1094,114,3743.496869,264
121.5826427,25.0404221,457,11,5631.898215,587
121.553186,25.04427912,971,41,8058.905669,737
121.537384,25.0417648,680,21,10418.3298,367
121.5437412,25.0443032,872,50,11149.60359,436
121.5001429,25.04207765,1400,12,11848.97058,465
121.5511637,25.04153459,1379,44,9431.507734,415
121.5468944,25.04519591,1916,129,8344.262347,710
121.557634,25.0439154,1451,67,9684.332808,434
121.5344034,25.03849716,2030,37,14524.43109,668
121.5791755,25.04158455,715,32,4383.561703,443
121.519078,25.04329678,1570,76,10140.25512,394
121.5837747,25.04382461,233,9,3131.308004,422
121.5771692,25.0432747,205,7,2979.91013,508
121.5736644,25.04340755,248,10,2924.539372,408
121.5702188,25.04305104,173,5,3307.625006,292
121.570094,25.043011,487,17,6296.732527,424
121.503121,25.04552274,1513,118,8601.913372,297
121.5928654,25.04403973,398,25,8976.957182,573
121.5383844,25.04540656,1272,22,12310.69431,335
121.5241945,25.0476987,3117,47,18379.59492,299
121.5855426,25.04649383,471,24,3060.690434,390
121.543939,25.04497395,719,20,2511.1567,220
121.5481417,25.04506769,330,1,2646.962459,227
121.5491643,25.0466167,749,43,4442.011965,512
121.554671,25.04463275,127,10,2602.674248,247
121.5552181,25.04689281,428,11,4783.53858,337
121.5438346,25.04801945,717,30,6209.6187,244
121.5726923,25.04564367,331,9,3458.616618,320
121.559189,25.04767902,659,39,5240.837005,510
121.5309992,25.0462505,1159,8,8982.832874,267
121.516417,25.04861742,5296,387,20476.83747,254
121.6151337,25.0463174,934,38,16521.49781,643
121.562918,25.043589,2442,41,15702.14492,351
